config,fold,rmse_mkt,mae_mkt,n_test,sigma_fixed,rmse_spread,rmse_otm,rmse_atm,rmse_itm,rmse_wing,best_val_epoch,arb_butterfly%,arb_calendar%,elapsed_s
B4_modified_physics_mu1.0,Aug2020,5.426913694623047,,5167,0.711693,23.123705953991074,5.351123701510248,4.885218843866928,6.0112104654142415,5.577642306126566,15000.0,36.16,18.56,333.1073522567749
B4_modified_physics_mu1.0,Sep2020,14.674215917613113,,6361,0.732539,49.48868568677652,14.544338706559227,15.510124838733214,14.31867787352176,14.484060733798527,15000.0,37.34,17.69,336.73387145996094
B4_modified_physics_mu1.0,Oct2020,4.545298666460295,,5968,0.7371,30.63884692704291,4.517268690528092,4.849511084660233,4.279107404500355,4.465807740709434,15000.0,39.66,17.75,329.6077227592468
B4_modified_physics_mu1.0,Nov2020,7.985519775840686,,6420,0.7763340000000001,45.29678352963752,8.340165643738082,8.88120542915703,6.373698389084253,7.783283087106307,15000.0,37.06,23.94,338.24705839157104
B4_modified_physics_mu1.0,Dec2020,13.221651306041577,,5438,0.771868,42.21252208721471,14.489175861338678,12.814675306425432,11.10429406165334,13.307927996597058,15000.0,37.28,20.53,345.88665318489075
B1_standard_hybrid,Apr2020,2.061034415552528,,3094,0.684782,19.99557158471229,2.069399131913226,2.1091506696975797,1.975505410374888,2.0489472646235103,500.0,8.41,2.25,165.2061984539032
B1_standard_hybrid,May2020,2.781706048811307,,3188,0.7293615,42.41782593839558,2.663317164324608,3.2388731249425526,2.4904934588976437,2.6323266954022566,2000.0,3.75,0.16,163.99479031562805
B1_standard_hybrid,Jun2020,2.47508062887832,,3265,0.7755775,16.31280535907302,2.629780469426627,2.179281978511613,2.298555607039828,2.5529594669011675,500.0,9.03,1.28,164.13519024848938
B1_standard_hybrid,Jul2020,9.399149988671402,,5083,0.737551,33.096479310499845,9.684232299027062,9.356381549336636,8.502322559939453,9.408289161746,3500.0,3.44,0.22,166.87181305885315
B1_standard_hybrid,Aug2020,5.416038910242386,,5167,0.711693,41.59406900448564,5.378831944163332,5.042032127835724,5.802365290618944,5.522220311493801,2000.0,4.84,0.19,166.50882935523987
B1_standard_hybrid,Sep2020,13.808083932596876,,6361,0.732539,43.34017053514449,13.952167754691754,14.257087158657749,13.017932403472708,13.707443731874736,5000.0,2.41,0.0,165.1120593547821
B1_standard_hybrid,Oct2020,7.397115334016721,,5968,0.7371,75.0754580191346,7.593869799418407,7.883165359875252,5.988697831855649,7.270206502973059,500.0,11.09,0.62,167.0561408996582
B1_standard_hybrid,Nov2020,6.893401456817949,,6420,0.7763340000000001,31.162649881926782,7.174529253421836,7.4857286676188055,5.7389509111675,6.761736684566822,5500.0,2.81,0.0,170.71289730072021
B1_standard_hybrid,Dec2020,12.313056853174636,,5438,0.771868,42.23050549032501,13.191073164649866,11.845312678583717,11.016521013947074,12.411779754165849,500.0,13.22,0.41,164.11758017539978
B0_standard_physics,Apr2020,3.2417505884984514,,3094,0.684782,37.70852602147618,2.99638200714996,3.9680610439731225,3.167681116790397,3.0352061176467577,10500.0,3.72,0.31,170.0422215461731
B0_standard_physics,May2020,1.8454626280686859,,3188,0.7293615,17.711748262259324,1.9911894052525927,1.708022303441576,1.3073840229492513,1.8839418494491005,10500.0,3.94,0.28,159.52930426597595
B0_standard_physics,Jun2020,3.646849909319357,,3265,0.7755775,27.100497839609346,3.69828001309811,3.7448930041527047,3.3590703397111255,3.618479205496318,5000.0,4.81,0.19,164.43817949295044
B0_standard_physics,Jul2020,8.251207889446327,,5083,0.737551,29.51018423924781,8.548530482938077,8.192365551569722,7.3173984671964565,8.263762394318869,6500.0,4.16,0.28,151.8296446800232
